Date,Description,Category,Amount,Balance
2025-09-01,Paycheck Direct Deposit,Income,2500.00,2500.00
2025-09-01,Rent,Housing,-1200.00,1300.00
2025-09-01,Spotify Premium,Subscription,-9.99,1290.01
2025-09-02,Starbucks,Coffee,-6.50,1283.51
2025-09-03,Trader Joe's,Groceries,-72.30,1211.21
2025-09-04,Amazon Prime,Subscription,-14.99,1196.22
2025-09-05,The Tipsy Tavern,Going Out,-85.00,1111.22
2025-09-05,Club Entry,Entertainment,-40.00,1071.22
2025-09-05,Uber Ride,Uber,-28.00,1043.22
2025-09-05,Late Night Pizza,Eating Out,-31.75,1011.47
2025-09-06,Whole Foods,Groceries,-88.20,923.27
2025-09-07,Restaurant Brunch,Eating Out,-42.00,881.27
2025-09-08,Peet's Coffee,Coffee,-5.95,875.32
2025-09-08,Uber Ride,Uber,-18.20,857.12
2025-09-09,Electricity Bill,Utilities,-115.50,741.62
2025-09-10,Netflix,Subscription,-15.99,725.63
2025-09-11,Trader Joe's,Groceries,-65.40,660.23
2025-09-12,Happy Hour Drinks,Going Out,-52.00,608.23
2025-09-12,Club Drinks,Going Out,-110.00,498.23
2025-09-12,Uber Ride,Uber,-23.50,474.73
2025-09-12,Taco Truck,Eating Out,-27.00,447.73
2025-09-13,Amazon Order,Shopping,-42.75,404.98
2025-09-14,Restaurant Dinner,Eating Out,-46.80,358.18
2025-09-15,Paycheck Direct Deposit,Income,2500.00,2858.18
2025-09-15,Zelle from Mom,Income,100.00,2958.18
2025-09-16,Blue Bottle Coffee,Coffee,-6.25,2951.93
2025-09-17,Trader Joe's,Groceries,-78.90,2873.03
2025-09-18,Amazon Music,Subscription,-8.99,2864.04
2025-09-19,The Local Pub,Going Out,-72.00,2792.04
2025-09-19,Bar Drinks,Going Out,-95.00,2697.04
2025-09-19,Uber Ride,Uber,-25.00,2672.04
2025-09-19,Late Night Diner,Eating Out,-36.50,2635.54
2025-09-20,Whole Foods,Groceries,-90.40,2545.14
2025-09-21,Restaurant Lunch,Eating Out,-28.00,2517.14
2025-09-22,Peet's Coffee,Coffee,-5.95,2511.19
2025-09-23,Gas Bill,Utilities,-68.20,2442.99
2025-09-24,Adobe Creative Cloud,Subscription,-54.99,2388.00
2025-09-25,Dropbox Plus,Subscription,-11.99,2376.01
2025-09-26,Club Night,Entertainment,-45.00,2331.01
2025-09-26,Bar Tab,Going Out,-120.00,2211.01
2025-09-26,Uber Ride,Uber,-29.50,2181.51
2025-09-26,Late Night Tacos,Eating Out,-25.75,2155.76
2025-09-27,Trader Joe's,Groceries,-84.60,2071.16
2025-09-28,Restaurant Dinner,Eating Out,-41.00,2030.16
2025-09-29,Peacock TV,Subscription,-5.99,2024.17
2025-09-30,Starbucks,Coffee,-6.25,2017.92
2025-09-30,New York Times Digital,Subscription,-6.99,2010.93
